Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0274638278711442,-9.94036264242988E-05,-0.0589459174730025,0,0,0,1.28818547513624,0.00386799187030259,-2.60061119319231E-06,-9.09638741753614E-07,0.00158550898527565,-2.1804564325619E-06,0.00250633080610394,0,0,0,0,0,0,package://wsybot/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wsybot/meshes/base_link.STL,,dm-j10010l-1;body-ul-1;dm-j10010l-2,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_leg_roll_link,0.0479674225976101,0.0305307240632076,-0.0606602865809065,0,0,0,0.744380522190147,0.00106465933839251,-6.51325843870392E-05,0.000283335084448181,0.001786823062112,7.58707771997702E-05,0.00096075924662334,0,0,0,0,0,0,package://wsybot/meshes/left_leg_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://wsybot/meshes/left_leg_roll_link.STL,,MirroreDhip-1;dm-j10010l-3,坐标系1,基准轴1,left_leg_roll_joint,revolute,-0.003,0.07,-0.059,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
left_leg_pitch_link,0.00597026095932652,0.00864693961818348,-0.0682405259480892,0,0,0,0.464542542128635,0.00105655260807022,-6.63277600269421E-06,7.1495014127974E-05,0.00108636846314732,7.59403346028274E-05,0.000245617813764983,0,0,0,0,0,0,package://wsybot/meshes/left_leg_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://wsybot/meshes/left_leg_pitch_link.STL,,thights-1;DM 4340 rau 3505 电机 3D-1,坐标系2,基准轴2,left_leg_pitch_joint,revolute,0.062,0.0125,-0.075,0,0,0,left_leg_roll_link,0,-1,0,0,0,0,0,,,,,,,,
left_leg_yaw_link,8.5909258730095E-05,-0.0351571294230111,-0.115116620634162,0,0,0,0.760934261790557,0.00206054910052176,1.30238972471929E-06,1.11653915689551E-06,0.00246172534604495,-0.00026202643250772,0.000769522371204611,0,0,0,0,0,0,package://wsybot/meshes/left_leg_yaw_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://wsybot/meshes/left_leg_yaw_link.STL,,ankle-1;dm-j10010l-6,坐标系3,基准轴3,left_leg_yaw_joint,revolute,0.012768,0.0275,-0.14594,0,-0.087266,0,left_leg_pitch_link,0,0,-1,0,0,0,0,,,,,,,,
left_knee_link,-0.0442333052966614,0.0160786087147345,-0.165150211742099,0,0,0,0.572644624824018,0.00484068257784219,9.47940619972512E-06,-0.00124206910815132,0.00531836188984156,3.53335812818619E-05,0.000537984787365853,0,0,0,0,0,0,package://wsybot/meshes/left_knee_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://wsybot/meshes/left_knee_link.STL,,calf-2;DM 4340 rau 3505 电机 3D-3,坐标系4,基准轴4,left_knee_joint,revolute,0,-0.0088,-0.1535,0,0.087266,0,left_leg_yaw_link,0,1,0,0,0,0,0,,,,,,,,
left_ankle_pitch_link,0.0152052346398301,-0.0366197640951046,-0.0376363682701258,0,0,0,0.261694977450165,0.000201755105377775,-1.23548313156654E-07,3.11681243424014E-07,0.000154056737827573,-4.40909391754159E-05,0.000111256459038612,0,0,0,0,0,0,package://wsybot/meshes/left_ankle_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://wsybot/meshes/left_ankle_pitch_link.STL,,DM 4340 rau 3505 电机 3D-6;MirroreDknee-1,坐标系5,基准轴5,left_ankle_pitch_joint,revolute,-0.077646,0.01375,-0.28978,0,0,0,left_knee_link,0,-1,0,0,0,0,0,,,,,,,,
left_ankle_roll_link,0.0346033016094209,3.80259581946041E-06,-0.0314896941840948,0,0,0,0.407270792399681,0.000143995974498123,-4.63019017054245E-08,9.40484527097653E-06,0.001051764684646,3.27067394953948E-09,0.00114098662670853,0,0,0,0,0,0,package://wsybot/meshes/left_ankle_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://wsybot/meshes/left_ankle_roll_link.STL,,foot-1;shoes-1,坐标系6,基准轴6,left_ankle_roll_joint,revolute,-0.021,-0.04425,-0.05,0,0,0,left_ankle_pitch_link,-1,0,0,0,0,0,0,,,,,,,,
right_leg_roll_link,0.0481394428939257,-0.0305307249475035,-0.0606602580050626,0,0,0,0.744380877656152,0.00106465923621307,6.77331622423403E-05,0.000285515620940964,0.00178682287733251,-7.58707323072346E-05,0.0009607590864553,0,0,0,0,0,0,package://wsybot/meshes/right_leg_roll_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wsybot/meshes/right_leg_roll_link.STL,,dm-j10010l-4;hip-1,坐标系7,基准轴7,right_leg_roll_joint,revolute,-0.003,-0.07,-0.059,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
right_leg_pitch_link,0.00597028442427775,-0.00864693987677517,-0.0682405265629243,0,0,0,0.464542521049574,0.00105655262273945,6.65488296205294E-06,7.14946663703727E-05,0.0010863684016776,-7.59383995880313E-05,0.000245617745589089,0,0,0,0,0,0,package://wsybot/meshes/right_leg_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://wsybot/meshes/right_leg_pitch_link.STL,,thights-2;DM 4340 rau 3505 电机 3D-2,坐标系8,基准轴8,right_leg_pitch_joint,revolute,0.062,-0.0125,-0.075,0,0,0,right_leg_roll_link,0,1,0,0,0,0,0,,,,,,,,
right_leg_yaw_link,-8.50762495181873E-05,0.0351569319384139,-0.115117611523388,0,0,0,0.76095040365216,0.00206056108190587,1.30178260531051E-06,-1.10976816723711E-06,0.00246176573486259,0.000262028241156259,0.000769552652078499,0,0,0,0,0,0,package://wsybot/meshes/right_leg_yaw_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://wsybot/meshes/right_leg_yaw_link.STL,,ankle-2;dm-j10010l-5,坐标系9,基准轴9,right_leg_yaw_joint,revolute,0.012768,-0.0275,-0.14594,0,-0.087266,0,right_leg_pitch_link,0,0,-1,0,0,0,0,,,,,,,,
right_knee_link,-0.0442333035475847,-0.0160786087152636,-0.165150205214108,0,0,0,0.572644624824022,0.00484067153113813,-9.47940718963295E-06,-0.00124208824160409,0.00531836188984141,-3.53335849766127E-05,0.000537995834070165,0,0,0,0,0,0,package://wsybot/meshes/right_knee_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://wsybot/meshes/right_knee_link.STL,,calf-1;DM 4340 rau 3505 电机 3D-4,坐标系10,基准轴10,right_knee_joint,revolute,0,0.0088,-0.1535,0,0.087266,0,right_leg_yaw_link,0,-1,0,0,0,0,0,,,,,,,,
right_ankle_pitch_link,0.0152052435162388,0.0366197289989762,-0.0376364066801811,0,0,0,0.261694892992839,0.000201754946583785,1.23609581429624E-07,3.11702167281166E-07,0.000154056937664453,4.40686814395704E-05,0.000111256096532805,0,0,0,0,0,0,package://wsybot/meshes/right_ankle_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://wsybot/meshes/right_ankle_pitch_link.STL,,knee-1;DM 4340 rau 3505 电机 3D-5,坐标系11,基准轴11,right_ankle_pitch_joint,revolute,-0.077646,-0.01375,-0.28978,0,0,0,right_knee_link,0,1,0,0,0,0,0,,,,,,,,
right_ankle_roll_link,0.0346033498437609,3.79754498590346E-06,-0.0314896995066078,0,0,0,0.407271070692203,0.000143996016241726,-4.61446124864305E-08,9.40489165771257E-06,0.0010517666514146,3.26213937094104E-09,0.00114098862947045,0,0,0,0,0,0,package://wsybot/meshes/right_ankle_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://wsybot/meshes/right_ankle_roll_link.STL,,foot-3;shoes-3,坐标系12,基准轴12,right_ankle_roll_joint,revolute,-0.021,0.04425,-0.05,0,0,0,right_ankle_pitch_link,-1,0,0,0,0,0,0,,,,,,,,
